CardName,CardType,Description
Turtle Tiger," Normal Monster  Aqua  1000  1500",A tiger encased in a protective shell that attacks with razor-sharp fangs.
Two-Mouth Darkruler," Normal Monster  Dinosaur  900  700","A dinosaur with two deadly jaws, it stores electricity in its horn and releases high voltage bolts from the mouth on its back."
Two-Pronged Attack," Trap Card  Normal",Select and destroy 2 of your monsters and 1 of your opponent's monsters.
Tyhone," Normal Monster  Winged Beast  1200  1400","Capable of firing cannonballs from its mouth for long-range attacks, this creature is particularly effective in mountain battles."
Umi," Spell Card  Field","All Fish, Sea Serpent, Thunder, and Aqua monsters on the field gain 200 ATK/DEF, also all Machine and Pyro monsters on the field lose 200 ATK/DEF."
Uraby," Normal Monster  Dinosaur  1500  800","Fast on its feet, this dinosaur rips enemies to shreds with its sharp claws."
Vile Germs," Spell Card  Equip",A Plant-Type monster equipped with this card increases its ATK and DEF by 300 points.
Violet Crystal," Spell Card  Equip","(This card is not treated as a ""Crystal"" card.) Equip only to a Zombie monster. It gains 300 ATK/DEF."
Wasteland," Spell Card  Field","All Dinosaur, Zombie, and Rock monsters on the field gain 200 ATK/DEF."
Witty Phantom," Normal Monster  Fiend  1400  1300","Dressed in a night-black tuxedo, this creature presides over the darkness."
Yami," Spell Card  Field","All Fiend and Spellcaster monsters on the field gain 200 ATK/DEF, also all Fairy monsters on the field lose 200 ATK/DEF."
Acid Trap Hole," Trap Card  Normal","Target 1 face-down Defense Position monster on the field; flip it face-up, then destroy it if its DEF is 2000 or less, or return it face-down if its DEF is more than 2000."
Salamandra," Spell Card  Equip",Equip only to a FIRE monster. It gains 700 ATK.
Seiyaryu," Normal Monster  Dragon  2500  2300",A mystical dragon that burns away the unworthy with its mystic flames.
Ancient Elf," Normal Monster  Spellcaster  1450  1200",This elf is rumored to have lived for thousands of years. He leads an army of spirits against his enemies.
Ancient Telescope," Spell Card  Normal",See the top 5 cards of your opponent's Deck. Return the cards to the Deck in the same order.
Ansatsu," Normal Monster  Warrior  1700  1200",A silent and deadly warrior specializing in assassinations.
Baron of the Fiend Sword," Normal Monster  Fiend  1550  800",An aristocrat who wields a sword possessed by a malicious spirit that preys on the weak.
Battle Ox," Normal Monster  Beast-Warrior  1700  1000","A monster with tremendous power, it destroys enemies with a swing of its axe."
Card Destruction," Spell Card  Normal","Both players discard as many cards as possible from their hands, then each player draws the same number of cards they discarded."
Castle Walls," Trap Card  Normal",Increase the DEF of 1 face-up monster on the field by 500 points until the end of this turn.
Change of Heart," Spell Card  Normal",Target 1 monster your opponent controls; take control of it until the End Phase.
Claw Reacher," Normal Monster  Fiend  1000  800",Stretching arms and razor-sharp claws make this monster a formidable opponent.
D. Human," Normal Monster  Warrior  1300  1100","Gifted with the power of dragons, this warrior wields a sword created from a dragon's fang."
Dark Assailant," Normal Monster  Zombie  1200  1200","Armed with the Psycho Sword, this sinister assassin rules the bad land."
Dark Titan of Terror," Normal Monster  Fiend  1300  1100","A fiend said to dwell in the world of dreams, it attacks enemies in their sleep."
De-Spell," Spell Card  Normal","Target 1 face-up Spell, or 1 Set Spell/Trap, on the field; destroy that target if it is a Spell. (If the target is Set, reveal it.)"
Destroyer Golem," Normal Monster  Rock  1500  1000",A golem with a massive right hand for crushing its victims.
Dian Keto the Cure Master," Spell Card  Normal",Increase your Life Points by 1000 points.
Doma The Angel of Silence," Normal Monster  Fairy  1600  1400",This fairy rules over the end of existence.
Dragon Zombie," Normal Monster  Zombie  1600",A dragon revived by sorcery. Its breath is highly corrosive.
Feral Imp," Normal Monster  Fiend  1300  1400","A playful little fiend that lurks in the dark, waiting to attack an unwary enemy."
Great White," Normal Monster  Fish  1600  800",A giant white shark with razor-sharp teeth.
Gyakutenno Megami," Normal Monster  Fairy  1800  2000",This fairy uses her mystical power to protect the weak and provide spiritual support.
Invigoration," Spell Card  Equip",An EARTH monster equipped with this card increases its ATK by 400 points and decreases its DEF by 200 points.
Judge Man," Normal Monster  Warrior  2200  1500",This club-wielding warrior battles to the end and will never surrender.
Just Desserts," Trap Card  Normal",Inflict 500 damage to your opponent for each monster they control.
Kojikocy," Normal Monster  Warrior  1500  1200",A man-hunter with powerful arms that can crush boulders.
Koumori Dragon," Normal Monster  Dragon  1500  1200","A vicious, fire-breathing dragon whose wicked flame corrupts the souls of its victims."
La Jinn the Mystical Genie of the Lamp," Normal Monster  Fiend  1800  1000",A genie of the lamp that is at the beck and call of its master.
Last Will," Spell Card  Normal","If a monster on your side of the field was sent to your Graveyard this turn, you can Special Summon 1 monster with an ATK of 1500 points or less from your Deck once during this turn. Then shuffle your Deck."
Lord of D.," Effect Monster  Spellcaster  1200  1100",Neither player can target Dragon monsters on the field with card effects.
Magical Ghost," Normal Monster  Zombie  1300  1400",This creature casts a spell of terror and confusion just before attacking its enemies.
Man-Eating Treasure Chest," Normal Monster  Fiend  1600  1000",A monster disguised as a treasure chest that is known to attack the unwary adventurer.
Master & Expert," Normal Monster  Beast  1200  1000",A deadly duo consisting of a beast master and its loyal servant.
Mysterious Puppeteer," Effect Monster  Warrior  1000  1500","Each time you or your opponent Normal Summons or Flip Summons a monster, increase your Life Points by 500 points."
Mystic Clown," Normal Monster  Fiend  1500  1000",Nothing can stop the mad attack of this powerful creature.
Mystic Horseman," Normal Monster  Beast  1300  1550","Half man and half horse, this monster is known for its extreme speed."
Neo the Magic Swordsman," Normal Monster  Spellcaster  1700  1000","A dimensional drifter who not only practices sorcery, but is also a sword and martial arts master."
Ogre of the Black Shadow," Normal Monster  Beast-Warrior  1200  1400",An ogre possessed by the powers of the dark. Few can withstand its rapid charge.
Ookazi," Spell Card  Normal",Inflict 800 damage to your opponent.
Pale Beast," Normal Monster  Beast  1500  1200","With skin tinged a bluish-white, this strange creature is a fearsome sight to behold."
Reinforcements," Trap Card  Normal",Target 1 face-up monster on the field; it gains 500 ATK until the end of this turn.
Reverse Trap," Trap Card  Normal","Until the End Phase, all effects that add or subtract ATK or DEF are reversed. (Additions now subtract, and subtractions now add, instead. Multiplications and divisions, including halving/doubling, are not affected.)"
Rogue Doll," Normal Monster  Spellcaster  1600  1000","A deadly doll gifted with mystical power, it is particularly powerful when attacking against dark forces."
Rude Kaiser," Normal Monster  Beast-Warrior  1800  1600","With an axe in each hand, this monster delivers heavy damage."
Ryu-Kishin," Normal Monster  Fiend  1000  500",A very elusive creature that looks like a harmless statue until it attacks.
Ryu-Kishin Powered," Normal Monster  Fiend  1600  1200",A gargoyle enhanced by the powers of darkness. Very sharp talons make it a worthy opponent.
Sorcerer of the Doomed," Normal Monster  Spellcaster  1450  1200","A slave of the dark arts, this sorcerer is a master of life-extinguishing spells."
Soul Exchange," Spell Card  Normal","Target 1 monster your opponent controls; this turn, if you Tribute a monster, you must Tribute that target, as if you controlled it. You cannot conduct your Battle Phase the turn you activate this card."
Sword of Dark Destruction," Spell Card  Equip",Equip only to a DARK monster. It gains 400 ATK and loses 200 DEF.
Swordstalker," Normal Monster  Warrior  2000  1600",A monster formed by the vengeful souls of those who passed away in battle.
The Flute of Summoning Dragon," Spell Card  Normal","Special Summon up to 2 Dragon monsters from your hand. ""Lord of D."" must be on the field to activate and to resolve this effect."
The Inexperienced Spy," Spell Card  Normal",Select and see 1 card in your opponent's hand.
The Stern Mystic," Flip Effect Monster  Spellcaster  1500  1200","FLIP: Reveal all face-down cards on the field (Flip Effects are not activated), then return them to their original positions."
The Wicked Worm Beast," Effect Monster  Beast  1400  700",This face-up card on the field is returned to the owner's hand during the End Phase of your turn.
Trap Master," Flip Effect Monster  Warrior  500  1100","FLIP: Select 1 Trap Card on the field and destroy it. If the selected card is Set, pick up and see the card. If it is a Trap Card, it is destroyed. If it is a Spell Card, return it to its original position."
Ultimate Offering," Trap Card  Continuous","During your Main Phase or your opponent's Battle Phase: You can pay 500 Life Points; immediately after this effect resolves, Normal Summon/Set 1 monster."
Unknown Warrior of Fiend," Normal Monster  Warrior  1000  500",The speed of this warrior creates an intense vacuum that can slice through a monster's hide.
Waboku," Trap Card  Normal",You take no battle damage from your opponent's monsters this turn. Your monsters cannot be destroyed by battle this turn.
Wall of Illusion," Effect Monster  Fiend  1000  1850","If this card is attacked by a monster, after damage calculation: Return that monster to the hand."
"Winged Dragon, Guardian of the Fortress #1"," Normal Monster  Dragon  1400  1200",A dragon commonly found guarding mountain fortresses. Its signature attack is a sweeping dive from out of the blue.
7 Colored Fish," Normal Monster  Fish  1800  800",A rare rainbow fish that has never been caught by mortal man.
Ancient Brain," Normal Monster  Fiend  1000  700",A fallen fairy that is powerful in the dark.
Ancient Lizard Warrior," Normal Monster  Reptile  1400  1100","Before the dawn of man, this lizard warrior ruled supreme."
Armored Lizard," Normal Monster  Reptile  1500  1200",A lizard with a very tough hide and a vicious bite.
Armored Zombie," Normal Monster  Zombie  1500",This warrior blindly swings a deadly blade with devastating force.
Baby Dragon," Normal Monster  Dragon  1200  700","Much more than just a child, this dragon is gifted with untapped power."
Barrel Dragon," Effect Monster  Machine  2600  2200",Once per turn: You can target 1 monster your opponent controls; toss a coin 3 times and destroy it if at least 2 of the results are heads.
Battle Steer," Normal Monster  Beast-Warrior  1800  1300","A bull monster often found in the woods, it charges enemy monsters with a pair of deadly horns."
Bickuribox," Fusion Monster  Fiend  2300  2000","""Crass Clown"" + ""Dream Clown"""
Big Eye," Flip Effect Monster  Fiend  1200  1000","FLIP: Look at up to 5 cards from the top of your Deck, then place them on the top of the Deck in any order."
Black Skull Dragon," Fusion Monster  Dragon  3200  2500","""Summoned Skull"" + ""Red-Eyes Black Dragon"" (This card is always treated as an ""Archfiend"" card.)"
Blackland Fire Dragon," Normal Monster  Dragon  1500  800","A dragon that dwells in the depths of darkness, its vulnerability lies in its poor eyesight."
Bladefly," Effect Monster  Insect  600  700","As long as this card remains face-up on the field, increase the ATK of all WIND monsters by 500 points and decrease the ATK of all EARTH monsters by 400 points."
Blast Juggler," Effect Monster  Machine  800  900",You can only activate this effect during your Standby Phase. Tribute this face-up card to select and destroy 2 face-up monsters with an ATK 1000 or less.
Block Attack," Spell Card  Normal",Target 1 face-up Attack Position monster your opponent controls; change that target to face-up Defense Position.
Blue-Winged Crown," Normal Monster  Winged Beast  1600  1200","With hair shaped like a crown and a body encased in bluish white flames, this bird is a formidable sight."
Bottom Dweller," Normal Monster  Fish  1650  1700",This is one sea creature whose wrath is something monsters fear to face.
Cannon Soldier," Effect Monster  Machine  1400  1300",You can Tribute 1 monster; inflict 500 damage to your opponent.
Castle of Dark Illusions," Flip Effect Monster  Fiend  920  1930","FLIP: All Zombie-Type monsters gain 200 ATK and DEF. During each of your next 4 Standby Phases, each of those Zombie-Type monsters gains 200 more ATK and DEF. These effects last as long as this card is face-up on the field."
Catapult Turtle," Effect Monster  Aqua  1000  2000",Once per turn: You can Tribute 1 monster; inflict damage to your opponent equal to half the Tributed monster's ATK on the field.
Cocoon of Evolution," Effect Monster  Insect  2000","You can target 1 ""Petit Moth"" you control; equip this card from your hand to that target. While equipped by this effect, the original ATK/DEF of that ""Petit Moth"" becomes the ATK/DEF of ""Cocoon of Evolution""."
Crass Clown," Effect Monster  Fiend  1350  1400","When this card is changed from Defense Position to Attack Position, return 1 monster on your opponent's side of the field to the owner's hand."
Crawling Dragon," Normal Monster  Dragon  1600  1400","This weakened dragon can no longer fly, but is still a deadly force to be reckoned with."
Cyber Saurus," Fusion Monster  Machine  1800  1400","""Blast Juggler"" + ""Two-Headed King Rex"""
Dark Elf," Effect Monster  Spellcaster  2000  800",This card requires a cost of 1000 of your own Life Points to attack.
Deepsea Shark," Fusion Monster  Fish  1900  1600","""Bottom Dweller"" + ""Tongyo"""
Disk Magician," Normal Monster  Machine  1350  1000",This monster hides in a saucer and only appears when executing an attack.
Dragon Piper," Flip Effect Monster  Pyro  200  1800","FLIP: Destroy all face-up ""Dragon Capture Jar""(s) on the field. If you destroy any, change all face-up Dragon-Type monsters on the field to Attack Position."
Dream Clown," Effect Monster  Warrior  1200  900","When this card is changed from Attack Position to face-up Defense Position, select 1 monster your opponent controls and destroy it."
Electric Lizard," Effect Monster  Thunder  850  800","A non Zombie-Type monster attacking ""Electric Lizard"" cannot attack on its following turn."
Elegant Egotist," Spell Card  Normal","If ""Harpie Lady"" is on the field: Special Summon 1 ""Harpie Lady"" or ""Harpie Lady Sisters"" from your hand or Deck."
Empress Judge," Fusion Monster  Warrior  2100  1700","""Queen's Double"" + ""Hibikime"""
Fake Trap," Trap Card  Normal","Activate only when your opponent activates a Spell, Trap, or Effect Monster's effect that would destroy a Trap Card(s) you control. Destroy this card instead. (If the cards that would have been destroyed are face-down, you can look at them to confirm.)"
Flame Cerebrus," Normal Monster  Pyro  2100  1800","Known to many as the ""Burning Executioner"", this monster is capable of burning enemies to cinders."
Garnecia Elefantis," Normal Monster  Beast-Warrior  2400  2000",A monster so heavy that each step rocks the earth.
Gate Guardian," Effect Monster  Warrior  3750  3400","Cannot be Normal Summoned/Set. Must first be Special Summoned (from your hand) by Tributing 1 ""Sanga of the Thunder"", ""Kazejin"", and ""Suijin""."
Gazelle the King of Mythical Beasts," Normal Monster  Beast  1500  1200","This monster moves so fast that it looks like an illusion to mortal eyes. (This card is always treated as a ""Phantom Beast"" card.)"
Germ Infection," Spell Card  Equip",The ATK of a non Machine-Type monster equipped with this card is decreased by 300 points at each of its Standby Phases.
Giga-Tech Wolf," Normal Monster  Machine  1200  1400",An iron wolf with razor-sharp fangs that can penetrate any armor.
Giltia the D. Knight," Fusion Monster  Warrior  1850  1500","""Guardian of the Labyrinth"" + ""Protector of the Throne"""
Great Moth," Effect Monster  Insect  2600  2500","This monster cannot be Normal Summoned or Set. This card can only be Special Summoned by Tributing ""Petit Moth"" during your 4th turn after ""Petit Moth"" has been equipped with ""Cocoon of Evolution""."
Ground Attacker Bugroth," Normal Monster  Machine  1500  1000",A surface battle robot that was once used for sea warfare.
Guardian of the Labyrinth," Normal Monster  Warrior  1000  1200",A monster that guards the entrance to the Netherworld.
Harpie Lady," Normal Monster  Winged Beast  1300  1400",This human-shaped animal with wings is beautiful to watch but deadly in battle.
Harpie Lady Sisters," Effect Monster  Winged Beast  1950  2100","Cannot be Normal Summoned/Set. Must first be Special Summoned with ""Elegant Egotist""."
Heavy Storm," Spell Card  Normal",Destroy all Spell and Trap Cards on the field.
Hibikime," Normal Monster  Warrior  1450  1000",Confuses enemy monsters with a noise that is harsh to the ears.
Horn of Heaven," Trap Card  Counter","When a monster(s) would be Summoned: Tribute 1 monster; negate the Summon, and if you do, destroy that monster(s)."
Hoshiningen," Effect Monster  Fairy  500  700","All LIGHT monsters on the field gain 500 ATK, also all DARK monsters on the field lose 400 ATK."
Hunter Spider," Normal Monster  Insect  1600  1400",This monster feeds on whatever it catches in its web.
Hyosube," Normal Monster  Aqua  1500  900","This amphibian is strong on the attack, but leaves much to be desired when defending."
Illusionist Faceless Mage," Normal Monster  Spellcaster  1200  2200",Manipulates enemy attacks with the power of illusion.
Insect Soldiers of the Sky," Effect Monster  Insect  1000  800","If this card attacks a WIND monster, it gains 1000 ATK during the Damage Step only."
